First Two Words,Rest of Question
what was,lebron james rookie year?
what are,shirley temple kids names?
who does,malcom floyd play for?
what did,kourtney kardashian go to college for?
what are,the four official languages of nigeria?
where is,bergen belsen concentration camp located?
what was,the name of tecumseh brother?
what did,donna summers die from?
what year,did allen iverson get married?
where was,selena gomez really born?
what is,the best neighborhood to live in in philadelphia?
when did,the battle of thermopylae occur?
where did,eleanor roosevelt go to school?
what do,you say after a sneeze in german?
where is,husqvarna 235 made?
what do,people speak in singapore?
what is,the currency in slovakia 2012?
what is,the mascot of dartmouth college?
who pays,social security and medicare?
what movies,star adam sandler?
what university,did bill clinton graduated from?
where did,president kennedy go to school?
when did,the ny knicks last win a championship?
what happened,at fukushima daiichi nuclear plant?
who was,louis kossuth?
when did,the red sox win the pennant?
where did,harry truman die?
what was,prince charles last name?
what was,reagan before president?
where did,bernie madoff work?
what website,did mark zuckerberg co founder?
what bass,does jared followill use?
who played,captain kirk in star trek?
where is,canadian county oklahoma?
in which,province islamabad is located?
what does,rob kardashian do for living?
what did,nintendo announce at e3 2012?
what can,you do in palm springs ca?
where is,red lake ontario?
when was,the last time the ny giants played in the superbowl?
who was,the president of pakistan in 1980?
which college,did barack obama attend?
where was,st elizabeth ann seton born?
what does,the adriatic sea border?
what teams,played in the 2010 stanley cup?
what colony,is john adams from?
what countries,do germany border?
who does,russia trade with the most?
where was,abraham lincoln buried?
who was,the grandson of king david's father?
when president,lincoln was elected?
what did,theodore roosevelt do that brought him to national prominence?
where is,devon sawa now?
who did,the cleveland browns draft?
who was,marilyn monroe's parents?
where is,shoreditch?
what should,i do today in houston?
where does,the spanish language come from?
when do,they change the time in london?
what timezone,is tennessee nashville?
what political,party was henry clay?
what is,capital city of ontario?
what money,is used in england?
what was,walt disney's first cartoon called?
what did,mary harris jones accomplish?
what currency,do i need in egypt?
where is,ellis park rugby stadium?
what does,the letters eu stand for?
what are,the 5 countries in the united kingdom?
what label,is jojo signed to?
where did,douglas macarthur die?
what does,russian people speak?
who is,playing jason morgan on general hospital?
where is,hong kong china?
who does,david beckham play for in 2013?
who nikki,reed play in twilight?
who does,blake griffin play for in the nba?
who played,mulder in the x files?
who are,the current maryland senators?
where is,the capital of canada on the map?
what time,does barnes and noble close on saturday?
what was,francisco vasquez de coronado known for?
what form,of government does greece use?
where did,the columbia river begin?
who was,the original voice of meg on family guy?
who did,matt barnes married?
who won,the nobel peace prize in 2011 for physics?
what is,jessica ennis sport?
where is,tahiti bora bora?
where did,joe namath live?
who is,my state senator and representative minnesota?
what films,has kristen stewart starred in?
where do,samsung lions play?
what teams,did derek fisher play for in the nba?
who did,mike tomlin play for?
what kind,of currency does cuba use?
what movies,have robert pattinson starred in?
what are,the zoroastrian scriptures called?
what political,party is barack obama from?
what organization,did martin luther king lead?
what was,arthur conan doyle famous for?
what year,did michael jordan started his career?
what currency,should you take to thailand?
what kind,of guitar does jemaine clement play?
where was,lance armstrong born and in what year?
what kind,of money is used in israel?
where is,george bush from?
what did,william howe do in the revolutionary war?
what is,north dakota state's mascot?
what is,the work of charles darwin?
what movies,have adam sandler been in?
where did,phil mickelson go to college?
what is,the most practiced religion in the us?
what does,duffy sing?
what school,did tupac go to?
where did,the flemish live?
what year,did the houston rockets win their first championship?
what college,did harry s. truman attend?
what is,the official language spoken in mexico?
what religion,in thailand?
who is,queen elizabeth 1 father?
what other,languages does switzerland speak?
what team,is ronaldinho on?
what kind,of government system does canada have?
what type,of government did sparta greece have?
where to,vacation in italy in august?
what kind,of voting system does japan have?
what are,the names of all the countries in africa?
who started,the first persian gulf war?
what is,the name of the pittsburgh steelers stadium?
where was,nicki minaj born?
what was,jesse james wife name?
who plays,spike in buffy the vampire slayer?
where was,emperor hadrian born?
who became,president when roosevelt died in office?
where did,martin luther king went to school?
where did,charles drew go to college?
what was,the colosseum in rome used for?
who plays,lynette on desperate housewives?
what year,was michael jordan rookie year?
what timezone,is the state of texas?
what airport,is closest to ithaca ny?
where did,kurt cobain die?
what county,is jackson michigan in?
where was,the battle of verdun held?
